DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRSDepTime,DepartureDelay,DepDelay15,TaxiInTime,ArrivalDelay,CRSDuration,ActualDuration,ActualAirTime,DISTANCE,DepDelayOver15,ArrDelayOver15,DiffActualCRSDiration
20,7,4/20/14,WN,SJC,"San Jose, CA",SEA,"Seattle, WA",2000,53,1,4,37,130,114,103,697,Departure Delay more than 15 min,Arrival Delay more than 15 min,-16
20,7,4/20/14,WN,SJC,"San Jose, CA",SEA,"Seattle, WA",1230,-5,0,5,-13,125,117,102,697,Departure Delay 15 min or less,Arrival Delay 15 min or less,-8
21,1,4/21/14,AS,SJC,"San Jose, CA",SEA,"Seattle, WA",1725,-8,0,5,-29,121,100,87,697,Departure Delay 15 min or less,Arrival Delay 15 min or less,-21
21,1,4/21/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",2100,-7,0,5,-20,116,103,82,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-13
21,1,4/21/14,AS,SJC,"San Jose, CA",SEA,"Seattle, WA",1005,-2,0,7,-15,120,107,90,697,Departure Delay 15 min or less,Arrival Delay 15 min or less,-13
21,1,4/21/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",1255,0,0,5,-17,129,112,85,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-17
21,1,4/21/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",915,-12,0,3,-29,122,105,86,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-17
21,1,4/21/14,AS,SJC,"San Jose, CA",SEA,"Seattle, WA",735,-2,0,4,-9,119,112,94,697,Departure Delay 15 min or less,Arrival Delay 15 min or less,-7
21,1,4/21/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",1600,-5,0,4,-30,120,95,80,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-25
21,1,4/21/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",1925,-8,0,10,-16,117,109,84,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-8
21,1,4/21/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",700,-5,0,3,-18,120,107,86,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-13
21,1,4/21/14,AS,SJC,"San Jose, CA",SEA,"Seattle, WA",630,-6,0,8,-9,119,116,97,697,Departure Delay 15 min or less,Arrival Delay 15 min or less,-3
21,1,4/21/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",1400,-8,0,6,-35,129,102,84,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-27
21,1,4/21/14,AS,SJC,"San Jose, CA",SEA,"Seattle, WA",1845,8,0,8,-4,120,108,89,697,Departure Delay 15 min or less,Arrival Delay 15 min or less,-12
21,1,4/21/14,AS,SJC,"San Jose, CA",SEA,"Seattle, WA",1540,3,0,8,-12,119,104,89,697,Departure Delay 15 min or less,Arrival Delay 15 min or less,-15
21,1,4/21/14,AS,OAK,"Oakland, CA",SEA,"Seattle, WA",620,-7,0,7,-5,119,121,90,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,2
21,1,4/21/14,AS,OAK,"Oakland, CA",SEA,"Seattle, WA",1845,-2,0,5,-21,115,96,83,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,-19
21,1,4/21/14,AS,OAK,"Oakland, CA",SEA,"Seattle, WA",1245,5,0,5,-12,112,95,82,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,-17
21,1,4/21/14,AS,OAK,"Oakland, CA",SEA,"Seattle, WA",1000,-2,0,6,-15,115,102,88,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,-13
21,1,4/21/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",2020,-7,0,6,-24,116,99,83,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-17
21,1,4/21/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",1155,-5,0,4,-25,124,104,86,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-20
21,1,4/21/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",600,-8,0,6,-24,131,115,87,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-16
21,1,4/21/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",700,-9,0,5,-32,131,108,89,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-23
21,1,4/21/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",2058,-6,0,5,-34,125,97,81,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-28
21,1,4/21/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",1538,-4,0,7,-24,131,111,83,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-20
21,1,4/21/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",1937,-5,0,9,-33,137,109,85,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-28
21,1,4/21/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",1327,-8,0,5,-32,133,109,87,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-24
21,1,4/21/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",1645,-2,0,8,-35,134,101,82,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-33
21,1,4/21/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",746,-6,0,7,-32,131,105,86,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-26
21,1,4/21/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",1005,-2,0,6,-19,130,113,84,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-17
21,1,4/21/14,VX,SFO,"San Francisco, CA",SEA,"Seattle, WA",700,9,0,7,3,120,114,89,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-6
21,1,4/21/14,VX,SFO,"San Francisco, CA",SEA,"Seattle, WA",1155,-4,0,7,-20,120,104,86,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-16
21,1,4/21/14,VX,SFO,"San Francisco, CA",SEA,"Seattle, WA",1605,-6,0,9,-30,125,101,82,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-24
21,1,4/21/14,VX,SFO,"San Francisco, CA",SEA,"Seattle, WA",2025,-9,0,9,-24,120,105,85,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-15
21,1,4/21/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",1105,-3,0,6,-19,131,115,86,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-16
