"tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender"
1602,"2020-12-24 15:07:54.6030","2020-12-24 15:34:36.9220",4045,"West End Ave & W 60 St",40.77237,-73.99005,223,"W 13 St & 7 Ave",40.73781509,-73.99994661,28996,"Subscriber",1973,1
924,"2020-12-13 15:11:33.2550","2020-12-13 15:26:57.8620",476,"E 31 St & 3 Ave",40.74394314,-73.97966069,445,"E 10 St & Avenue A",40.72740794,-73.98142006,44046,"Subscriber",1969,0
346,"2020-12-23 16:36:57.1860","2020-12-23 16:42:43.4650",3790,"Henry St & Middagh St",40.7003,-73.991581,3440,"Fulton St & Adams St",40.6924182925785,-73.989494740963,49316,"Subscriber",1985,2
212,"2020-12-08 11:35:11.0260","2020-12-08 11:38:43.3930",342,"Columbia St & Rivington St",40.71739973,-73.98016555,341,"Stanton St & Mangin St",40.71782143,-73.97628939,42828,"Subscriber",1983,1
1217,"2020-12-24 15:41:11.1050","2020-12-24 16:01:28.5500",526,"E 33 St & 5 Ave",40.74765947,-73.98490707,531,"Forsyth St & Broome St",40.71893904,-73.99266288,36663,"Subscriber",1981,1
631,"2020-12-29 17:52:49.0510","2020-12-29 18:03:20.4990",385,"E 55 St & 2 Ave",40.75797322,-73.96603308,174,"E 25 St & 1 Ave",40.7381765,-73.97738662,48285,"Subscriber",1985,1
654,"2020-12-22 00:45:02.7250","2020-12-22 00:55:57.5920",3724,"7 Ave & Central Park South",40.7667405590595,-73.9790689945221,4123,"Central Park W & W 103 St",40.7960368415998,-73.9615890385357,49395,"Subscriber",1989,1
284,"2020-12-02 19:49:00.2200","2020-12-02 19:53:44.5090",528,"2 Ave & E 31 St",40.74290902,-73.97706058,325,"E 19 St & 3 Ave",40.73624527,-73.98473765,43828,"Subscriber",1989,1
1091,"2020-12-12 16:51:43.0240","2020-12-12 17:09:54.7970",168,"W 18 St & 6 Ave",40.73971301,-73.99456405,3467,"W Broadway & Spring St",40.7249467235942,-74.0016585588455,41044,"Subscriber",1992,2
735,"2020-12-01 08:52:05.9270","2020-12-01 09:04:21.8660",3151,"E 81 St & York Ave",40.7728384,-73.94989233,3459,"E 53 St & 3 Ave",40.7576322773944,-73.9693057537079,20091,"Subscriber",1998,1
428,"2020-12-30 19:10:50.3780","2020-12-30 19:17:58.7150",3093,"N 6 St & Bedford Ave",40.71745169,-73.95850939,389,"Broadway & Berry St",40.71044554,-73.96525063,41679,"Subscriber",1996,1
1332,"2020-12-04 21:13:10.4350","2020-12-04 21:35:22.7400",151,"Cleveland Pl & Spring St",40.722103786686,-73.997249007225,500,"Broadway & W 51 St",40.76228826,-73.98336183,29310,"Subscriber",1997,2
76,"2020-12-24 08:41:23.0060","2020-12-24 08:42:39.6300",346,"Bank St & Hudson St",40.73652889,-74.00618026,238,"Bank St & Washington St",40.7361967,-74.00859207,42137,"Subscriber",1969,1
129,"2020-12-16 04:25:52.6670","2020-12-16 04:28:02.3920",349,"Rivington St & Ridge St",40.71850211,-73.98329859,356,"Bialystoker Pl & Delancey St",40.71622644,-73.98261206,47857,"Subscriber",1991,2
1286,"2020-12-18 22:15:33.9890","2020-12-18 22:37:00.2330",412,"Forsyth St & Canal St",40.7158155,-73.99422366,3658,"W 18 St & 9 Ave",40.7435337324616,-74.0036755800247,37231,"Subscriber",1986,1
1696,"2020-12-01 17:25:52.3570","2020-12-01 17:54:08.4020",4117,"Sullivan Pl & Franklin Ave",40.6640798367816,-73.9602512866668,4117,"Sullivan Pl & Franklin Ave",40.6640798367816,-73.9602512866668,33273,"Customer",1997,1
287,"2020-12-08 13:42:08.1260","2020-12-08 13:46:55.4170",3680,"E 43 St & 5 Ave",40.7541208107793,-73.9802518486977,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,37634,"Subscriber",1991,1
388,"2020-12-07 14:37:28.9990","2020-12-07 14:43:57.1570",545,"E 23 St & 1 Ave",40.736502,-73.97809472,402,"Broadway & E 22 St",40.7403432,-73.98955109,36443,"Customer",1981,2
266,"2020-12-28 11:29:32.8950","2020-12-28 11:33:59.2760",492,"W 33 St & 7 Ave",40.75019995,-73.99093085,4232,"6 Ave & W 45 St",40.756951,-73.982631,36150,"Subscriber",1973,1
1380,"2020-12-15 17:20:10.8440","2020-12-15 17:43:11.3050",3827,"Halsey St & Broadway",40.68565,-73.91564,3827,"Halsey St & Broadway",40.68565,-73.91564,43902,"Customer",1999,2
685,"2020-12-03 17:04:37.8040","2020-12-03 17:16:03.1820",435,"W 21 St & 6 Ave",40.74173969,-73.99415556,3699,"W 50 St & 9 Ave",40.7636046779586,-73.9891795814037,49826,"Subscriber",1982,1
661,"2020-12-10 09:47:13.9550","2020-12-10 09:58:15.9270",3050,"Putnam Ave & Throop Ave",40.6851532,-73.94111,3076,"Scholes St & Manhattan Ave",40.70870368,-73.9448625,49401,"Subscriber",1993,2
282,"2020-12-13 16:26:04.0660","2020-12-13 16:30:46.6530",3745,"36 Ave & 31 St",40.7565127298495,-73.9295748621225,3808,"24 St & 41 Ave",40.752474,-73.939991,47928,"Subscriber",1997,1
2137,"2020-12-11 17:34:45.9090","2020-12-11 18:10:22.9520",3346,"Berkeley Pl & 7 Ave",40.6751468387098,-73.9752320945263,3478,"2 Ave & 36 St",40.6570886666848,-74.0087020397186,48517,"Subscriber",1985,2
250,"2020-12-09 09:18:08.0800","2020-12-09 09:22:18.1020",4035,"Broadway & W 153 St",40.831327,-73.946665,4055,"W 165 St & Fort Washington Ave",40.84004,-73.942939,49836,"Subscriber",1987,1
