State,Medical School,Men,Women,All,Year,,,,,,,,,,,,
VA,Virginia Tech Carilion,20,18,38,4,,,,,,,,,,,,
VT,Vermont-Larner,57,53,110,4,,,,,,,,,,,,
WA,U Washington,137,148,285,4,,,,,,,,,,,,
WA,Washington State-Floyd,25,31,56,4,,,,,,,,,,,,
WI,MC Wisconsin,125,127,252,4,,,,,,,,,,,,
WI,Wisconsin,78,89,167,4,,,,,,,,,,,,
WV,Marshall-Edwards,43,32,75,4,,,,,,,,,,,,
WV,West Virginia,56,61,117,4,,,,,,,,,,,,
AL,Alabama-Heersink,104,85,189,3,,,,,,,,,,,,
AL,South Alabama-Whiddon,40,35,75,3,,,,,,,,,,,,
AR,Arkansas,86,71,157,3,,,,,,,,,,,,
AZ,Arizona,56,59,115,3,,,,,,,,,,,,
AZ,Arizona Phoenix,34,40,74,3,,,,,,,,,,,,
CA,California,31,30,61,3,,,,,,,,,,,,
CA,California Northstate,42,37,79,3,,,,,,,,,,,,
CA,Kaiser Permanente-Tyson,-,-,-,3,,,,,,,,,,,,
CA,Loma Linda,72,80,152,3,,,,,,,,,,,,
CA,Southern Cal-Keck,82,92,174,3,,,,,,,,,,,,
CA,Stanford,47,41,88,3,,,,,,,,,,,,
CA,UC Davis,48,80,128,3,,,,,,,,,,,,
CA,UC Irvine,41,53,94,3,,,,,,,,,,,,
CA,UC Riverside,35,34,69,3,,,,,,,,,,,,
CA,UC San Diego,58,55,113,3,,,,,,,,,,,,
CA,UC San Francisco,67,82,149,3,,,,,,,,,,,,
CA,UCLA-Geffen,80,84,164,3,,,,,,,,,,,,
CO,Colorado,91,95,186,3,,,,,,,,,,,,
CT,Connecticut,47,54,101,3,,,,,,,,,,,,
CT,Quinnipiac-Netter,42,54,96,3,,,,,,,,,,,,
CT,Yale,52,46,98,3,,,,,,,,,,,,
DC,George Washington,58,108,166,3,,,,,,,,,,,,
DC,Georgetown,96,102,198,3,,,,,,,,,,,,
DC,Howard,47,68,115,3,,,,,,,,,,,,
FL,FIU-Wertheim,58,59,117,3,,,,,,,,,,,,
FL,Florida,70,60,130,3,,,,,,,,,,,,
FL,Florida Atlantic-Schmidt,35,29,64,3,,,,,,,,,,,,
FL,Florida State,51,68,119,3,,,,,,,,,,,,
FL,Miami-Miller,82,110,192,3,,,,,,,,,,,,
FL,Nova Southeastern-Patel,25,21,46,3,,,,,,,,,,,,
FL,UCF,59,48,107,3,,,,,,,,,,,,
FL,USF-Morsani,78,88,166,3,,,,,,,,,,,,
GA,Emory,66,84,150,3,,,,,,,,,,,,
GA,MC Georgia Augusta,111,114,225,3,,,,,,,,,,,,
GA,Mercer,57,50,107,3,,,,,,,,,,,,
GA,Morehouse,48,38,86,3,,,,,,,,,,,,
HI,Hawaii-Burns,39,30,69,3,,,,,,,,,,,,
IA,Iowa-Carver,72,82,154,3,,,,,,,,,,,,
IL,Carle Illinois,13,10,23,3,,,,,,,,,,,,
IL,Chicago Med Franklin,113,92,205,3,,,,,,,,,,,,
IL,Chicago-Pritzker,32,49,81,3,,,,,,,,,,,,
IL,Illinois,181,143,324,3,,,,,,,,,,,,
IL,Loyola-Stritch,56,94,150,3,,,,,,,,,,,,
IL,Northwestern-Feinberg,81,73,154,3,,,,,,,,,,,,
IL,Rush,67,78,145,3,,,,,,,,,,,,
IL,Southern Illinois,36,33,69,3,,,,,,,,,,,,
IN,Indiana,182,153,335,3,,,,,,,,,,,,
KS,Kansas,95,107,202,3,,,,,,,,,,,,
KY,Kentucky,80,84,164,3,,,,,,,,,,,,
KY,Louisville,88,67,155,3,,,,,,,,,,,,
LA,LSU New Orleans,101,83,184,3,,,,,,,,,,,,
LA,LSU Shreveport,65,72,137,3,,,,,,,,,,,,
LA,Tulane,93,87,180,3,,,,,,,,,,,,
MA,BU-Chobanian Avedisian,82,82,164,3,,,,,,,,,,,,
